condition,threshold,n_promoted_axes,top_axis_id,top_axis_effect_size,top_axis_bootstrap_low,top_axis_promoted
baseline,0.4,2,axis_3,4.098978939189905,3.721587444554792,True
baseline,0.6,2,axis_3,4.098978939189905,3.721587444554792,True
baseline,0.8,2,axis_3,4.098978939189905,3.721587444554792,True
baseline,1.0,2,axis_3,4.098978939189905,3.721587444554792,True
baseline,1.2,2,axis_3,4.098978939189905,3.721587444554792,True
baseline,1.5,1,axis_3,4.098978939189905,3.721587444554792,True
baseline,2.0,1,axis_3,4.098978939189905,3.721587444554792,True
baseline,3.0,1,axis_3,4.098978939189905,3.721587444554792,True
baseline,4.0,1,axis_3,4.098978939189905,3.721587444554792,True
label_shuffle,0.4,0,axis_2,0.1145188571584223,-0.0647876808053366,False
label_shuffle,0.6,0,axis_2,0.1145188571584223,-0.0647876808053366,False
label_shuffle,0.8,0,axis_2,0.1145188571584223,-0.0647876808053366,False
label_shuffle,1.0,0,axis_2,0.1145188571584223,-0.0647876808053366,False
label_shuffle,1.2,0,axis_2,0.1145188571584223,-0.0647876808053366,False
label_shuffle,1.5,0,axis_2,0.1145188571584223,-0.0647876808053366,False
label_shuffle,2.0,0,axis_2,0.1145188571584223,-0.0647876808053366,False
label_shuffle,3.0,0,axis_2,0.1145188571584223,-0.0647876808053366,False
label_shuffle,4.0,0,axis_2,0.1145188571584223,-0.0647876808053366,False
knockdown_volatility_family,0.4,1,axis_2,0.5424599501198581,0.3459443099238187,True
knockdown_volatility_family,0.6,0,axis_2,0.5424599501198581,0.3459443099238187,False
knockdown_volatility_family,0.8,0,axis_2,0.5424599501198581,0.3459443099238187,False
knockdown_volatility_family,1.0,0,axis_2,0.5424599501198581,0.3459443099238187,False
knockdown_volatility_family,1.2,0,axis_2,0.5424599501198581,0.3459443099238187,False
knockdown_volatility_family,1.5,0,axis_2,0.5424599501198581,0.3459443099238187,False
knockdown_volatility_family,2.0,0,axis_2,0.5424599501198581,0.3459443099238187,False
knockdown_volatility_family,3.0,0,axis_2,0.5424599501198581,0.3459443099238187,False
knockdown_volatility_family,4.0,0,axis_2,0.5424599501198581,0.3459443099238187,False
measurement_noise_2p0,0.4,1,axis_1,0.6210403676828891,0.4499174789415455,True
measurement_noise_2p0,0.6,1,axis_1,0.6210403676828891,0.4499174789415455,True
measurement_noise_2p0,0.8,0,axis_1,0.6210403676828891,0.4499174789415455,False
measurement_noise_2p0,1.0,0,axis_1,0.6210403676828891,0.4499174789415455,False
measurement_noise_2p0,1.2,0,axis_1,0.6210403676828891,0.4499174789415455,False
measurement_noise_2p0,1.5,0,axis_1,0.6210403676828891,0.4499174789415455,False
measurement_noise_2p0,2.0,0,axis_1,0.6210403676828891,0.4499174789415455,False
measurement_noise_2p0,3.0,0,axis_1,0.6210403676828891,0.4499174789415455,False
measurement_noise_2p0,4.0,0,axis_1,0.6210403676828891,0.4499174789415455,False
stride_8,0.4,0,axis_1,0.3085668132585422,0.1335528659713968,False
stride_8,0.6,0,axis_1,0.3085668132585422,0.1335528659713968,False
stride_8,0.8,0,axis_1,0.3085668132585422,0.1335528659713968,False
stride_8,1.0,0,axis_1,0.3085668132585422,0.1335528659713968,False
stride_8,1.2,0,axis_1,0.3085668132585422,0.1335528659713968,False
stride_8,1.5,0,axis_1,0.3085668132585422,0.1335528659713968,False
stride_8,2.0,0,axis_1,0.3085668132585422,0.1335528659713968,False
stride_8,3.0,0,axis_1,0.3085668132585422,0.1335528659713968,False
stride_8,4.0,0,axis_1,0.3085668132585422,0.1335528659713968,False
stride_16,0.4,0,axis_3,0.2372292585785564,0.0590549276018492,False
stride_16,0.6,0,axis_3,0.2372292585785564,0.0590549276018492,False
stride_16,0.8,0,axis_3,0.2372292585785564,0.0590549276018492,False
stride_16,1.0,0,axis_3,0.2372292585785564,0.0590549276018492,False
stride_16,1.2,0,axis_3,0.2372292585785564,0.0590549276018492,False
stride_16,1.5,0,axis_3,0.2372292585785564,0.0590549276018492,False
stride_16,2.0,0,axis_3,0.2372292585785564,0.0590549276018492,False
stride_16,3.0,0,axis_3,0.2372292585785564,0.0590549276018492,False
stride_16,4.0,0,axis_3,0.2372292585785564,0.0590549276018492,False
